<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus Gold Com.ETF,20241015, 322200.00, 322729.00, 320820.00, 321824.00,2075395655659.00, 6448848,9362,D,323428.00,321824.00
Lotus Gold Com.ETF,20241014, 323900.00, 325390.00, 322882.00, 323428.00,4239895429908.00, 13109235,13117,D,317650.00,323020.00
Lotus Gold Com.ETF,20241013, 316590.00, 318649.00, 315560.00, 317650.00,1693293295384.00, 5330682,8380,D,314508.00,318239.00
Lotus Gold Com.ETF,20241012, 315000.00, 316155.00, 312211.00, 314508.00,1783854915195.00, 5671898,9140,D,314078.00,314503.00
Lotus Gold Com.ETF,20241009, 314100.00, 315040.00, 312800.00, 314078.00,1728473890534.00, 5503330,7651,D,313672.00,314801.00
Lotus Gold Com.ETF,20241008, 314600.00, 315150.00, 311130.00, 313672.00,2327862221621.00, 7421318,11213,D,318484.00,314015.00
Lotus Gold Com.ETF,20241007, 319890.00, 321999.00, 316309.00, 318484.00,4334671330849.00, 13610324,16560,D,324126.00,318000.00
Lotus Gold Com.ETF,20241006, 320533.00, 325888.00, 320533.00, 324126.00,5118290496941.00, 15791064,14836,D,313105.00,325497.00
Lotus Gold Com.ETF,20241005, 310000.00, 316440.00, 307777.00, 313105.00,3665309275971.00, 11706315,14234,D,311512.00,315969.00
Lotus Gold Com.ETF,20241002, 310997.00, 313490.00, 308500.00, 311512.00,4439721360032.00, 14252176,14221,D,307410.00,312999.00
Lotus Gold Com.ETF,20241001, 307000.00, 309000.00, 306500.00, 307410.00,3174370923915.00, 10326181,9473,D,303409.00,307373.00
Lotus Gold Com.ETF,20240930, 300556.00, 304777.00, 300450.00, 303409.00,2906712367106.00, 9580166,9273,D,301419.00,302950.00
Lotus Gold Com.ETF,20240929, 303880.00, 303880.00, 300312.00, 301419.00,2702184589356.00, 8964868,12625,D,308492.00,301518.00
Lotus Gold Com.ETF,20240928, 310001.00, 311005.00, 305900.00, 308492.00,4072545118612.00, 13201466,15890,D,296206.00,308665.00
Lotus Gold Com.ETF,20240925, 299085.00, 299085.00, 294210.00, 296206.00,2982846023697.00, 10070172,12316,D,299034.00,295600.00
